geo_id,geo_name,geo_level,year,metric,value,unit,real_or_nominal,source,source_url,retrieved_at
12420,"Austin, TX",metro,2015,zhvi,280371.41,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2016,zhvi,297895.28,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2017,zhvi,309992.69,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2018,zhvi,320317.99,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2019,zhvi,332839.03,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2020,zhvi,374169.03,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2021,zhvi,506362.16,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2022,zhvi,528331.5,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2023,zhvi,484492.75,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2024,zhvi,468254.83,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2025,zhvi,440047.91,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
12420,"Austin, TX",metro,2026,zhvi,430489.97,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
19100,"Dallas-Fort Worth, TX",metro,2015,zhvi,198993.51,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
19100,"Dallas-Fort Worth, TX",metro,2016,zhvi,221176.09,USD,nominal,Zillow Research ZHVI,https://files.zillowstatic.com/research/public_csvs/zhvi/Metro_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,2026-06-03T16:49:45.817774+00:00
