area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,_metric
06000,0,10,50,0,2015,A,,1416493,16295204,1005383368506,120041964626,5854152236,1187,61698,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,43543,3.2,486122,3.1,71978510713,7.7,5393885858,4.7,97008405,1.7,52,4.6,2656,4.5,avg_pay_all_industries
06000,5,51,54,0,2015,A,,20575,482179,70218324950,4994862965,274080655,2801,145627,,0.91,1.50,1.97,1.52,1.54,1.31,1.31,,408,2.0,25187,5.5,7969748479,12.8,203566987,4.2,13290847,5.1,182,6.9,9413,6.9,avg_pay_information
06000,5,54,54,0,2015,A,,131923,1199974,134122187423,11277157348,566933736,2149,111771,,0.77,1.19,1.27,1.13,1.12,1.07,1.07,,218,0.2,28809,2.5,12413917597,10.2,268722045,2.4,5422509,1.0,151,7.6,7850,7.6,avg_pay_prof_sci_tech
06000,5,31-33,54,0,2015,A,,40990,1284296,107710695553,10851453509,568382711,1613,83868,,0.81,0.89,1.00,0.77,0.77,1.12,1.12,,155,0.4,20182,1.6,4851836166,4.7,92238836,0.9,-6907734,-1.2,48,3.1,2500,3.1,avg_pay_manufacturing
06000,0,10,50,0,2015,A,,1416493,16295204,1005383368506,120041964626,5854152236,1187,61698,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,43543,3.2,486122,3.1,71978510713,7.7,5393885858,4.7,97008405,1.7,52,4.6,2656,4.5,employment_all_industries
06000,5,51,54,0,2015,A,,20575,482179,70218324950,4994862965,274080655,2801,145627,,0.91,1.50,1.97,1.52,1.54,1.31,1.31,,408,2.0,25187,5.5,7969748479,12.8,203566987,4.2,13290847,5.1,182,6.9,9413,6.9,employment_information
06000,0,10,50,0,2016,A,,1471110,16718647,1052676812182,124147005557,5745447412,1211,62964,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,54617,3.9,423443,2.6,47293443676,4.7,4105040931,3.4,-108704824,-1.9,24,2.0,1266,2.1,avg_pay_all_industries
06000,5,51,54,0,2016,A,,20709,517212,76166635070,5298434227,274177472,2832,147264,,0.87,1.57,2.00,1.56,1.57,1.27,1.27,,134,0.7,35033,7.3,5948310120,8.5,303571262,6.1,96817,0.0,31,1.1,1637,1.1,avg_pay_information
06000,5,54,54,0,2016,A,,130148,1212890,135668741327,11222250228,534009652,2151,111856,,0.74,1.16,1.22,1.08,1.06,1.05,1.05,,-1775,-1.3,12916,1.1,1546553904,1.2,-54907120,-0.5,-32924084,-5.8,2,0.1,85,0.1,avg_pay_prof_sci_tech
06000,5,31-33,54,0,2016,A,,41210,1294761,112850738001,11048867272,554324043,1676,87160,,0.79,0.89,1.02,0.77,0.78,1.14,1.14,,220,0.5,10465,0.8,5140042448,4.8,197413763,1.8,-14058668,-2.5,63,3.9,3292,3.9,avg_pay_manufacturing
06000,0,10,50,0,2016,A,,1471110,16718647,1052676812182,124147005557,5745447412,1211,62964,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,54617,3.9,423443,2.6,47293443676,4.7,4105040931,3.4,-108704824,-1.9,24,2.0,1266,2.1,employment_all_industries
06000,5,51,54,0,2016,A,,20709,517212,76166635070,5298434227,274177472,2832,147264,,0.87,1.57,2.00,1.56,1.57,1.27,1.27,,134,0.7,35033,7.3,5948310120,8.5,303571262,6.1,96817,0.0,31,1.1,1637,1.1,employment_information
06000,0,10,50,0,2017,A,,1515798,17019702,1120858375295,127038310927,5598241345,1266,65857,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,44688,3.0,301055,1.8,68181563113,6.5,2891305370,2.3,-147206067,-2.6,55,4.5,2893,4.6,avg_pay_all_industries
06000,5,51,54,0,2017,A,,22519,513029,88399737648,5335335675,273652842,3314,172309,,0.90,1.55,2.13,1.54,1.62,1.37,1.37,,1810,8.7,-4183,-0.8,12233102578,16.1,36901448,0.7,-524630,-0.2,482,17.0,25045,17.0,avg_pay_information
06000,5,54,54,0,2017,A,,135319,1226410,143247305066,11332680615,516896009,2246,116802,,0.74,1.15,1.21,1.07,1.06,1.05,1.05,,5171,4.0,13520,1.1,7578563739,5.6,110430387,1.0,-17113643,-3.2,95,4.4,4946,4.4,avg_pay_prof_sci_tech
06000,5,31-33,54,0,2017,A,,42215,1303550,120247323637,11136216639,535349469,1774,92246,,0.79,0.89,1.03,0.77,0.77,1.16,1.16,,1005,2.4,8789,0.7,7396585636,6.6,87349367,0.8,-18974574,-3.4,98,5.8,5086,5.8,avg_pay_manufacturing
06000,0,10,50,0,2017,A,,1515798,17019702,1120858375295,127038310927,5598241345,1266,65857,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,44688,3.0,301055,1.8,68181563113,6.5,2891305370,2.3,-147206067,-2.6,55,4.5,2893,4.6,employment_all_industries
06000,5,51,54,0,2017,A,,22519,513029,88399737648,5335335675,273652842,3314,172309,,0.90,1.55,2.13,1.54,1.62,1.37,1.37,,1810,8.7,-4183,-0.8,12233102578,16.1,36901448,0.7,-524630,-0.2,482,17.0,25045,17.0,employment_information
06000,0,10,50,0,2018,A,,1553799,17355855,1188490487985,131052277700,5581242158,1317,68478,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,38001,2.5,336153,2.0,67632112690,6.0,4013966773,3.2,-16999187,-0.3,51,4.0,2621,4.0,avg_pay_all_industries
06000,5,51,54,0,2018,A,,26592,525771,98935955497,5584640590,274540214,3619,188173,,0.99,1.57,2.17,1.57,1.56,1.38,1.38,,4073,18.1,12742,2.5,10536217849,11.9,249304915,4.7,887372,0.3,305,9.2,15864,9.2,avg_pay_information
06000,5,54,54,0,2018,A,,150687,1286277,157517233171,12141048839,540546529,2355,122460,,0.79,1.17,1.23,1.10,1.08,1.05,1.05,,15368,11.4,59867,4.9,14269928105,10.0,808368224,7.1,23650520,4.6,109,4.9,5658,4.8,avg_pay_prof_sci_tech
06000,5,31-33,54,0,2018,A,,44706,1320068,126234694090,11399710819,530555349,1839,95627,,0.82,0.88,1.03,0.76,0.78,1.17,1.17,,2491,5.9,16518,1.3,5987370453,5.0,263494180,2.4,-4794120,-0.9,65,3.7,3381,3.7,avg_pay_manufacturing
06000,0,10,50,0,2018,A,,1553799,17355855,1188490487985,131052277700,5581242158,1317,68478,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,38001,2.5,336153,2.0,67632112690,6.0,4013966773,3.2,-16999187,-0.3,51,4.0,2621,4.0,employment_all_industries
06000,5,51,54,0,2018,A,,26592,525771,98935955497,5584640590,274540214,3619,188173,,0.99,1.57,2.17,1.57,1.56,1.38,1.38,,4073,18.1,12742,2.5,10536217849,11.9,249304915,4.7,887372,0.3,305,9.2,15864,9.2,employment_information
06000,0,10,50,0,2019,A,,1589417,17631489,1258022741997,134335333531,5510903665,1372,71351,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,35618,2.3,275634,1.6,69532254012,5.9,3283055831,2.5,-70338493,-1.3,55,4.2,2873,4.2,avg_pay_all_industries
06000,5,51,54,0,2019,A,,28529,550084,105218867049,5989986825,287752728,3678,191278,,0.99,1.62,2.15,1.62,1.64,1.33,1.33,,1937,7.3,24313,4.6,6282911552,6.4,405346235,7.3,13212514,4.8,59,1.6,3105,1.7,avg_pay_information
06000,5,54,54,0,2019,A,,156352,1333978,170580479959,12667746750,541257793,2459,127874,,0.80,1.17,1.24,1.10,1.07,1.05,1.05,,5665,3.8,47701,3.7,13063246788,8.3,526697911,4.3,711264,0.1,104,4.4,5414,4.4,avg_pay_prof_sci_tech
06000,5,31-33,54,0,2019,A,,44539,1322455,129893887153,11424247071,509287913,1889,98222,,0.81,0.87,1.01,0.75,0.77,1.17,1.17,,-167,-0.4,2387,0.2,3659193063,2.9,24536252,0.2,-21267436,-4.0,50,2.7,2595,2.7,avg_pay_manufacturing
06000,0,10,50,0,2019,A,,1589417,17631489,1258022741997,134335333531,5510903665,1372,71351,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,35618,2.3,275634,1.6,69532254012,5.9,3283055831,2.5,-70338493,-1.3,55,4.2,2873,4.2,employment_all_industries
06000,5,51,54,0,2019,A,,28529,550084,105218867049,5989986825,287752728,3678,191278,,0.99,1.62,2.15,1.62,1.64,1.33,1.33,,1937,7.3,24313,4.6,6282911552,6.4,405346235,7.3,13212514,4.8,59,1.6,3105,1.7,employment_information
06000,0,10,50,0,2020,A,,1621590,16378059,1301732881932,128757588919,5169255759,1528,79480,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,32173,2.0,-1253430,-7.1,43710139935,3.5,-5577744612,-4.2,-341647906,-6.2,156,11.4,8129,11.4,avg_pay_all_industries
