state,saidi_wmed,saidi_womed,customers,year
CA,26.862,26.862,35327.0,2021
CA,70.9,70.9,117932.0,2021
TX,1921.89,63.4,515724.0,2021
CA,,67.135,,2021
TX,942.14,63.91,39054.0,2021
TX,1740.6,737.87,12714.0,2021
TX,1126.0,,13204.0,2021
TX,989.659,95.982,116089.0,2021
TX,568.93,320.75,37581.0,2021
TX,192.739,29.721,55997.0,2021
TX,17.597,,64294.0,2021
CA,16.4,16.4,52500.0,2021
TX,1901.1,186.3,883117.0,2021
TX,8249.0,3148.0,44489.0,2021
TX,2822.0,188.14,21954.0,2021
TX,43.7,22.1,45095.0,2021
TX,809.817,543.421,15396.0,2021
TX,105.15,105.15,18374.0,2021
TX,403.0,254.5,15016.0,2021
TX,1640.72,656.46,44031.0,2021
TX,1150.71,41.41,57597.0,2021
TX,1032.81,40.63,274949.0,2021
TX,155.864,145.306,334112.0,2021
TX,791.346,51.659,72833.0,2021
TX,326.883,148.441,16807.0,2021
TX,9.5,9.5,73607.0,2021
TX,1556.3,46.579,29984.0,2021
CA,55.868,55.868,88155.0,2021
TX,1278.56,1201.44,66810.0,2021
TX,36.811,8.968,15550.0,2021
TX,117.02,84.09,91490.0,2021
TX,805.8,98.6,31394.0,2021
TX,3370.3,637.9,21864.0,2021
TX,2365.551,149.913,2667346.0,2021
CA,116.16,70.6,157819.0,2021
TX,764.44,582.01,23338.0,2021
TX,260.102,214.416,21577.0,2021
TX,26.1,26.1,11620.0,2021
TX,261.469,261.469,5327.0,2021
CA,37.871,21.174,25270.0,2021
CA,140.24,140.24,1580125.0,2021
TX,392.74,392.66,23289.0,2021
TX,717.3,156.11,129313.0,2021
TX,2279.62,178.56,33814.0,2021
TX,677.0,100.0,34768.0,2021
CA,87.12,37.21,118569.0,2021
TX,57.731,57.731,47588.0,2021
TX,516.55,360.82,7082.0,2021
TX,1523.872,180.27,19227.0,2021
CA,626.3,218.2,5675418.0,2021
CA,441.114,115.622,47055.0,2021
CA,81.65,,29136.0,2021
TX,219.0,,10373.0,2021
CA,29.466,29.466,65221.0,2021
TX,150.52,83.54,367296.0,2021
CA,32.23,32.23,44899.0,2021
TX,380.415,317.443,13699.0,2021
TX,625.5,86.7,8240.0,2021
CA,116.33,83.04,111742.0,2021
TX,31626.0,471.839,20524.0,2021
CA,16.64,13.45,65337.0,2021
TX,1545.9,353.8,23212.0,2021
CA,227.2,60.4,641169.0,2021
TX,175.845,67.68,869234.0,2021
CA,76.93,71.64,1488695.0,2021
TX,676.0,256.0,83160.0,2021
TX,233.258,188.02,11988.0,2021
TX,145.45,110.91,31042.0,2021
CA,81.23,,58701.0,2021
TX,21.63,21.63,9117.0,2021
CA,179.726,103.769,5201994.0,2021
CA,398.33,93.06,24607.0,2021
TX,,,,2021
TX,193.1,107.209,260366.0,2021
TX,1078.713,210.941,76618.6,2021
TX,1907.9,331.58,124254.0,2021
CA,108.0,75.0,89114.0,2021
TX,811.301,186.127,91453.0,2021
TX,1179.1,1003.0,48587.0,2021
CA,38.2,38.2,2013.0,2021
TX,3146.66,2903.73,24000.0,2021
TX,698.0,45.0,15985.0,2021
TX,1136.6,113.9,196515.0,2021
TX,364.41,222.014,38802.0,2021
TX,779.1,140.6,24686.0,2021
TX,2076.013,27.539,23614.0,2021
TX,269.454,,25482.0,2021
TX,203.7,102.3,256355.0,2021
TX,558.81,68.75,3717866.0,2021
CA,12.68,12.68,7403.0,2021
TX,999.9,280.1,488747.0,2021
TX,845.636,426.554,22885.0,2021
CA,1007.09,701.72,50151.0,2021
CA,12.366,12.366,35938.0,2022
CA,25.49,25.49,117000.0,2022
TX,85.12,67.69,526186.0,2022
CA,,46.591,,2022
TX,143.1,59.17,40311.0,2022
TX,262.7,113.27,13571.0,2022
TX,56.0,,13380.0,2022
TX,142.618,101.878,119195.0,2022
TX,997.4,362.2,38286.0,2022
TX,105.287,63.256,55884.0,2022
TX,26.309,,63503.0,2022
CA,4.54,4.54,52500.0,2022
TX,208.9,166.2,894484.0,2022
TX,237.5,218.0,45931.0,2022
TX,1145.4,618.62,22542.0,2022
TX,39.1,18.0,45237.0,2022
CA,0.286,0.02,18098.0,2022
TX,334.3,334.3,15648.0,2022
TX,319.7,0.04,17457.0,2022
TX,334.7,334.7,15189.0,2022
TX,987.05,831.21,44550.0,2022
TX,51.3,33.771,62433.0,2022
TX,36.948,36.948,290758.0,2022
TX,55.691,55.691,349339.0,2022
TX,131.073,73.104,79452.0,2022
TX,307.95,81.0,17377.0,2022
TX,16.5,16.5,74180.0,2022
TX,49.25,49.25,31734.0,2022
CA,76.236,76.236,88329.0,2022
TX,254.76,120.86,73467.0,2022
TX,80.541,13.3,15982.0,2022
TX,117.0,58.0,95360.0,2022
TX,58.0,58.0,32714.0,2022
TX,880.664,87.849,22517.0,2022
TX,231.61,170.15,2722082.0,2022
CA,64.52,54.53,159216.0,2022
TX,590.041,590.041,23412.0,2022
TX,320.348,297.164,22073.0,2022
TX,33.5,33.5,11658.0,2022
TX,531.489,240.235,12928.4,2022
TX,7.51,7.51,5374.0,2022
CA,19.96,9.44,25418.0,2022
CA,108.86,108.86,1557281.0,2022
TX,131.18,129.1,23344.0,2022
TX,178.71,139.25,133394.0,2022
TX,274.49,193.81,34710.0,2022
TX,184.0,107.0,37207.0,2022
CA,49.45,49.45,120443.0,2022
TX,50.659,50.659,50294.0,2022
TX,1384.0,696.0,7226.0,2022
TX,348.348,175.851,20256.0,2022
CA,326.4,255.8,5713342.0,2022
CA,1045.869,127.613,47055.0,2022
CA,97.13,,29136.0,2022
TX,57.12,,10547.0,2022
CA,26.014,26.014,66329.0,2022
TX,81.46,81.46,385873.0,2022
CA,16.89,16.89,45214.0,2022
TX,369.212,361.614,13380.0,2022
TX,280.4,35.4,1735.0,2022
CA,78.68,73.5,112230.0,2022
TX,512.89,392.55,20937.0,2022
