year,real_gdp_ca_musd,real_gdp_tx_musd,nominal_gdp_ca_musd,nominal_gdp_tx_musd,pop_ca,pop_tx,real_pc_gdp_ca_usd,real_pc_gdp_tx_usd,real_gdp_gap_ca_minus_tx_musd,real_pc_gap_ca_minus_tx_usd,real_gdp_ca_over_tx,real_gdp_yoy_ca_pct,real_gdp_yoy_tx_pct
2015,2545979.5,1634127.1,2487156.4,1585985.9,38918045.0,27470056.0,65419.0,59487.58,911852.4,5931.42,1.56,,
2016,2623711.7,1633863.3,2586485.2,1582981.5,39167117.0,27914410.0,66987.61,58531.18,989848.4,8456.44,1.61,3.05,-0.02
2017,2740550.3,1667313.0,2740550.3,1667313.0,39358497.0,28295273.0,69630.46,58925.5,1073237.3,10704.97,1.64,4.45,2.05
2018,2850970.3,1746543.3,2899530.9,1808026.9,39461588.0,28628666.0,72246.72,61006.8,1104427.0,11239.92,1.63,4.03,4.75
2019,2969609.0,1806736.1,3068629.7,1864872.3,39512223.0,28995881.0,75156.72,62310.1,1162872.9,12846.62,1.64,4.16,3.45
2020,2930654.6,1782738.2,3072927.6,1810670.2,39521958.0,29239570.0,74152.57,60970.06,1147916.4,13182.51,1.64,-1.31,-1.33
2021,3151112.5,1905512.4,3418256.1,2117013.7,39142565.0,29570351.0,80503.47,64439.97,1245600.1,16063.51,1.65,7.52,6.89
2022,3147211.4,1975164.0,3618289.7,2476903.2,39142414.0,30113488.0,80404.12,65590.67,1172047.4,14813.45,1.59,-0.12,3.66
2023,3204016.4,2137536.7,3827007.3,2637237.6,39198693.0,30727890.0,81737.84,69563.41,1066479.7,12174.43,1.5,1.8,8.22
2024,3306928.6,2221943.3,4048108.1,2769766.2,39431263.0,31290831.0,83865.65,71009.41,1084985.3,12856.25,1.49,3.21,3.95
2025,3388904.8,2277203.3,4250840.8,2904427.8,,,,,1111701.5,,1.49,2.48,2.49
