year,price_ca_cents_kwh,price_tx_cents_kwh,demand_ca_twh,demand_tx_twh,saidi_wmed_ca_min,saidi_wmed_tx_min,saidi_womed_ca_min,saidi_womed_tx_min
2015,15.42,8.7,261.17,392.34,,,,
2016,15.23,8.43,256.85,398.66,,,,
2017,16.06,8.38,257.27,401.88,,,,
2018,16.58,8.48,255.22,424.42,,,,
2019,16.89,8.6,250.38,429.34,,,,
2020,18.0,8.36,250.17,426.86,,,,
2021,19.65,9.14,247.25,435.63,325.2,1175.3,142.7,147.4
2022,22.33,10.16,251.87,475.4,198.5,212.0,150.7,127.5
2023,24.87,10.04,239.48,492.82,346.6,496.2,152.1,124.7
2024,27.04,9.79,245.72,505.43,,,,
2025,27.63,10.18,237.96,519.7,,,,
