year,pep_net_domestic_mig_ca,pep_net_domestic_mig_tx,pep_net_intl_mig_ca,pep_net_intl_mig_tx,irs_net_interstate_agi_ca_kusd,irs_net_interstate_agi_tx_kusd,irs_net_interstate_people_ca,irs_net_interstate_people_tx,irs_net_agi_pct_of_gdp_ca,irs_net_agi_pct_of_gdp_tx,ca_to_tx_agi_kusd,tx_to_ca_agi_kusd,net_ca_to_tx_agi_kusd,ca_to_tx_people,tx_to_ca_people,net_ca_to_tx_people
2015,-79938.0,172048.0,156870.0,117660.0,,,,,,,,,,,,
2016,-122369.0,120910.0,141892.0,110866.0,-2006115.0,2340913.0,-88718.0,55220.0,-0.08,0.15,2353043.0,1841450.0,511593.0,62767.0,45596.0,17171.0
2017,-137546.0,84790.0,112814.0,98188.0,-6875141.0,3161065.0,-178069.0,98229.0,-0.25,0.19,3549333.0,2153237.0,1396096.0,88964.0,54956.0,34008.0
2018,-155281.0,83795.0,71300.0,71278.0,-7983739.0,3380024.0,-153197.0,77472.0,-0.28,0.19,3143998.0,1613625.0,1530373.0,70130.0,42879.0,27251.0
2019,-203414.0,125660.0,74028.0,65044.0,-8809288.0,3906027.0,-169482.0,111202.0,-0.29,0.21,3448399.0,1866775.0,1581624.0,72306.0,39032.0,33274.0
2020,-67219.0,53751.0,1372.0,1955.0,-17815116.0,6346965.0,-263344.0,133450.0,-0.58,0.35,4569503.0,1714877.0,2854626.0,87707.0,38445.0,49262.0
2021,-477586.0,195564.0,44127.0,43476.0,-29070963.0,10901303.0,-331760.0,174866.0,-0.85,0.51,7221838.0,1591033.0,5630805.0,105434.0,36092.0,69342.0
2022,-336707.0,222154.0,234953.0,193143.0,-23791963.0,10138261.0,-307117.0,180870.0,-0.66,0.41,7901692.0,2476091.0,5425601.0,106882.0,39032.0,67850.0
2023,-344029.0,190994.0,292721.0,262618.0,-11920506.0,5543750.0,-200547.0,112481.0,-0.31,0.21,4764727.0,2384297.0,2380430.0,82481.0,41232.0,41249.0
2024,-239575.0,85267.0,361057.0,319569.0,,,,,,,,,,,,
