year,avg_pay_total_ca,avg_pay_total_tx,avg_pay_total_ca_over_tx,avg_pay_info_ca,avg_pay_info_tx,avg_pay_info_ca_over_tx,avg_pay_pst_ca,avg_pay_pst_tx,emp_info_ca,emp_info_tx
2015,61698.0,54281.0,1.137,145627.0,79820.0,1.824,111771.0,88529.0,482179.0,200735.0
2016,62964.0,54333.0,1.159,147264.0,81268.0,1.812,111856.0,89458.0,517212.0,202077.0
2017,65857.0,55795.0,1.18,172309.0,84394.0,2.042,116802.0,91220.0,513029.0,201873.0
2018,68478.0,57747.0,1.186,188173.0,87085.0,2.161,122460.0,94564.0,525771.0,203822.0
2019,71351.0,59794.0,1.193,191278.0,90857.0,2.105,127874.0,97125.0,550084.0,208591.0
2020,79480.0,62872.0,1.264,217892.0,102835.0,2.119,141647.0,100630.0,527549.0,198521.0
2021,85741.0,65970.0,1.3,251226.0,112228.0,2.239,154568.0,106988.0,560370.0,207472.0
2022,84436.0,69614.0,1.213,212712.0,116366.0,1.828,149092.0,111759.0,605857.0,229747.0
2023,87490.0,72318.0,1.21,241056.0,123137.0,1.958,154124.0,115794.0,558978.0,234028.0
2024,92145.0,75394.0,1.222,287317.0,132041.0,2.176,167284.0,122527.0,537780.0,225306.0
2025,96946.0,77995.0,1.243,329448.0,138398.0,2.38,183387.0,127897.0,524441.0,223703.0
